Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
eagleLoardTest,Chrome 87.0.4280.88,,,2021-01-06 18:38:09,2021-01-06 18:39:50,1m - 41.121s,PASSED
,,,,,,,
Test Cases/Eagle performance test,Chrome 87.0.4280.88,,,2021-01-06 18:38:09,2021-01-06 18:39:50,1m - 40.950s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 87.0.4280.88,,,2021-01-06 18:38:09,2021-01-06 18:38:09,0.000s,PASSED
"n = Integer.parseInt(findTestData(""testData"").getValue(14, 1))",Chrome 87.0.4280.88,,,2021-01-06 18:38:09,2021-01-06 18:38:10,0.489s,PASSED
"overviewPageLoadingTestFlag = findTestData(""testCases"").getValue(2, 1)",Chrome 87.0.4280.88,,,2021-01-06 18:38:10,2021-01-06 18:38:10,0.024s,PASSED
"searchWithGroupTypeTestFlag = findTestData(""testCases"").getValue(2, 2)",Chrome 87.0.4280.88,,,2021-01-06 18:38:10,2021-01-06 18:38:10,0.019s,PASSED
"dataScreenPageLoadingTestFlag = findTestData(""testCases"").getValue(2, 3)",Chrome 87.0.4280.88,,,2021-01-06 18:38:10,2021-01-06 18:38:10,0.018s,PASSED
"OpenApplicationInNewTabTestFlag = findTestData(""testCases"").getValue(2, 4)",Chrome 87.0.4280.88,,,2021-01-06 18:38:10,2021-01-06 18:38:10,0.015s,PASSED
testCaseList = new java.util.HashMap(),Chrome 87.0.4280.88,,,2021-01-06 18:38:10,2021-01-06 18:38:10,0.001s,PASSED
"if (overviewPageLoadingTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:38:10,2021-01-06 18:38:11,0.710s,PASSED
"if (searchWithGroupTypeTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:38:11,2021-01-06 18:38:11,0.000s,PASSED
"if (dataScreenPageLoadingTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:38:11,2021-01-06 18:38:11,0.068s,PASSED
"if (OpenApplicationInNewTabTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:38:11,2021-01-06 18:38:11,0.063s,PASSED
CreateDriver().createDriver(testCaseList),Chrome 87.0.4280.88,,,2021-01-06 18:38:11,2021-01-06 18:39:50,1m - 39.260s,PASSED
Start listener action : sampleAfterTestCase,Chrome 87.0.4280.88,,,2021-01-06 18:39:50,2021-01-06 18:39:50,0.001s,PASSED
