Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
eagleLoardTest,Chrome 87.0.4280.88,,,2021-01-06 14:19:10,2021-01-06 14:20:42,1m - 31.965s,PASSED
,,,,,,,
Test Cases/Eagle performance test,Chrome 87.0.4280.88,,,2021-01-06 14:19:10,2021-01-06 14:20:42,1m - 31.672s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 87.0.4280.88,,,2021-01-06 14:19:10,2021-01-06 14:19:10,0.001s,PASSED
"n = Integer.parseInt(findTestData(""testData"").getValue(14, 1))",Chrome 87.0.4280.88,,,2021-01-06 14:19:11,2021-01-06 14:19:11,0.692s,PASSED
"overviewPageLoadingTestFlag = findTestData(""testCases"").getValue(2, 1)",Chrome 87.0.4280.88,,,2021-01-06 14:19:11,2021-01-06 14:19:11,0.036s,PASSED
"searchWithGroupTypeTestFlag = findTestData(""testCases"").getValue(2, 2)",Chrome 87.0.4280.88,,,2021-01-06 14:19:11,2021-01-06 14:19:11,0.029s,PASSED
"dataScreenPageLoadingTestFlag = findTestData(""testCases"").getValue(2, 3)",Chrome 87.0.4280.88,,,2021-01-06 14:19:11,2021-01-06 14:19:11,0.024s,PASSED
testCaseList = new java.util.HashMap(),Chrome 87.0.4280.88,,,2021-01-06 14:19:11,2021-01-06 14:19:11,0.001s,PASSED
"if (overviewPageLoadingTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 14:19:11,2021-01-06 14:19:12,0.955s,PASSED
"if (searchWithGroupTypeTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 14:19:12,2021-01-06 14:19:12,0.001s,PASSED
"if (dataScreenPageLoadingTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 14:19:12,2021-01-06 14:19:12,0.124s,PASSED
CreateDriver().createDriver(testCaseList),Chrome 87.0.4280.88,,,2021-01-06 14:19:12,2021-01-06 14:20:42,1m - 29.447s,PASSED
Start listener action : sampleAfterTestCase,Chrome 87.0.4280.88,,,2021-01-06 14:20:42,2021-01-06 14:20:42,0.000s,PASSED
