Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
eagleLoardTest,Chrome 87.0.4280.88,,,2021-01-06 18:52:57,2021-01-06 18:54:59,2m - 1.460s,PASSED
,,,,,,,
Test Cases/Eagle performance test,Chrome 87.0.4280.88,,,2021-01-06 18:52:58,2021-01-06 18:54:59,2m - 1.237s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 87.0.4280.88,,,2021-01-06 18:52:58,2021-01-06 18:52:58,0.001s,PASSED
"n = Integer.parseInt(findTestData(""testData"").getValue(14, 1))",Chrome 87.0.4280.88,,,2021-01-06 18:52:58,2021-01-06 18:52:59,0.590s,PASSED
"overviewPageLoadingTestFlag = findTestData(""testCases"").getValue(2, 1)",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.025s,PASSED
"searchWithGroupTypeTestFlag = findTestData(""testCases"").getValue(2, 2)",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.023s,PASSED
"dataScreenPageLoadingTestFlag = findTestData(""testCases"").getValue(2, 3)",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.021s,PASSED
"OpenApplicationInNewTabTestFlag = findTestData(""testCases"").getValue(2, 4)",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.020s,PASSED
testCaseList = new java.util.HashMap(),Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.001s,PASSED
"if (overviewPageLoadingTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.780s,PASSED
"if (searchWithGroupTypeTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.000s,PASSED
"if (dataScreenPageLoadingTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:52:59,0.081s,PASSED
"if (OpenApplicationInNewTabTestFlag == ""true"")",Chrome 87.0.4280.88,,,2021-01-06 18:52:59,2021-01-06 18:53:00,0.097s,PASSED
CreateDriver().createDriver(testCaseList),Chrome 87.0.4280.88,,,2021-01-06 18:53:00,2021-01-06 18:54:59,1m - 59.335s,PASSED
Start listener action : sampleAfterTestCase,Chrome 87.0.4280.88,,,2021-01-06 18:54:59,2021-01-06 18:54:59,0.001s,PASSED
